MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
010101	0.00003525	13.3243	0.241525	-0.07972075	3.7
010102	0.00003525	13.1569	0.242775	-0.075531	3.7
010103	0.00003525	12.9616	0.2435	-0.073675	3.7
010104	0.00003525	12.83605	0.24425	-0.0719195	3.7
010105	0.00003525	12.8779	0.245	-0.07028475	3.7
010106	0.00003525	12.86395	0.24575	-0.0687605	3.7
010107	0.00003525	12.83605	0.24675	-0.0672955	3.7
010108	0.00003525	13.0174	0.247225	-0.06663175	3.7
010109	0.00003525	13.64515	0.247975	-0.06591825	3.7
010110	0.00003525	14.76115	0.248225	-0.06587975	3.7
010111	0.00003525	15.54235	0.247725	-0.06717125	3.7
010112	0.00003525	16.0027	0.247475	-0.06785075	3.7
010113	0.00003525	16.7002	0.24695	-0.07003175	3.7
010114	0.00003525	16.93735	0.24595	-0.0733365	3.7
010115	0.00003525	16.9792	0.24445	-0.07826675	3.7
010116	0.00003525	16.8955	0.2432	-0.08423125	3.7
010117	0.00003525	16.1422	0.2422	-0.089992	3.7
010118	0.00003525	14.8309	0.241925	-0.0916305	3.7
010119	0.00003525	14.6077	0.241925	-0.0916305	3.7
010120	0.00003525	14.3008	0.241925	-0.09006375	3.7
010121	0.00003525	14.17525	0.242175	-0.08852825	3.7
010122	0.00003525	14.1613	0.242425	-0.08705875	3.7
010123	0.00003525	13.86835	0.24265	-0.085685	3.7
010124	0.00003525	13.5475	0.24265	-0.0843755	3.7
010201	0.00003525	13.75675	0.2429	-0.0830825	3.7
010202	0.00003525	13.72885	0.24365	-0.07950925	3.7
010203	0.00003525	13.44985	0.24415	-0.0773555	3.7
010204	0.00003525	13.47775	0.243125	-0.083077	3.7
010205	0.00003525	13.3801	0.241875	-0.09013075	3.7
010206	0.00003525	13.14295	0.241375	-0.09341525	3.7
010207	0.00003525	12.97555	0.241625	-0.091736	3.7
010208	0.00003525	13.14295	0.241625	-0.091736	3.7
010209	0.00003525	13.81255	0.24335	-0.088441	3.7
010210	0.00003525	14.2171	0.24535	-0.08672925	3.7
010211	0.00003525	14.70535	0.2456	-0.08669625	3.7
010212	0.00003525	14.9983	0.2451	-0.091274	3.7
010213	0.00003525	15.2215	0.2451	-0.0946475	3.7
010214	0.00003525	15.5005	0.252075	-0.09393625	3.7
010215	0.00003525	15.4726	0.255075	-0.0936835	3.7
010216	0.00003525	15.51445	0.259325	-0.091635	3.7
010217	0.00003525	15.1378	0.257825	-0.0917385	3.7
010218	0.00003525	14.4124	0.256825	-0.09355025	3.7
010219	0.00003525	14.23105	0.25655	-0.0936025	3.7
010220	0.00003525	14.14735	0.2538	-0.095639	3.7
