year	month	Litter_mgC/cm2/mon
2009	1	0.2423
2009	2	0.7504
2009	3	0.7182
2009	4	1.1287
2009	5	1.0741
2009	6	0.9012
2009	7	1.5841
2009	8	1.7259
2009	9	2.6458
2009	10	0.6913
2009	11	0.7203
2009	12	0.4245
2010	1	0.2945
2010	2	0.6236
2010	3	1.5351
2010	4	1.1679
2010	5	1.1346
2010	6	0.8940
2010	7	0.9440
2010	8	1.7002
2010	9	1.2435
2010	10	0.9499
2010	11	0.6989
2010	12	0.6638
2011	1	0.2657
2011	2	0.4689
2011	3	0.5999
2011	4	1.8881
2011	5	1.6508
2011	6	1.2324
2011	7	0.9048
2011	8	1.6306
2011	9	1.2834
2011	10	2.2041
2011	11	1.1550
2011	12	0.4185
2012	1	0.2392
2012	2	0.6386
2012	3	1.5253
2012	4	2.2758
2012	5	1.5101
2012	6	1.5105
2012	7	6.8769
2012	8	2.6113
2012	9	1.1796
2012	10	1.4893
2012	11	1.0150
2012	12	0.2624
