year	month	NH4_DEP_mgN/cm2/mon
2009	1	0.006018
2009	2	0.005878
2009	3	0.027133
2009	4	0.015666
2009	5	0.032384
2009	6	0.013563
2009	7	0.013401
2009	8	0.010315
2009	9	0.017579
2009	10	0.013332
2009	11	0.015714
2009	12	0.008831
2010	1	0.010250
2010	2	0.011250
2010	3	0.002000
2010	4	0.045750
2010	5	0.033500
2010	6	0.034750
2010	7	0.024250
2010	8	0.025250
2010	9	0.028500
2010	10	0.002000
2010	11	0.015241
2010	12	0.000500
2011	1	0.007720
2011	2	0.009838
2011	3	0.013380
2011	4	0.032688
2011	5	0.032130
2011	6	0.025504
2011	7	0.018785
2011	8	0.016256
2011	9	0.023160
2011	10	0.010112
2011	11	0.015241
2011	12	0.007382
2012	1	0.006893
2012	2	0.012385
2012	3	0.011008
2012	4	0.036647
2012	5	0.030506
2012	6	0.028198
2012	7	0.018703
2012	8	0.013203
2012	9	0.023402
2012	10	0.015005
2012	11	0.014769
2012	12	0.012814
