year	month	NO3_DEP_mgN/cm2/mon
2009	1	0.001456
2009	2	0.002626
2009	3	0.010276
2009	4	0.010146
2009	5	0.013874
2009	6	0.010777
2009	7	0.006963
2009	8	0.007551
2009	9	0.007366
2009	10	0.007419
2009	11	0.011382
2009	12	0.011200
2010	1	0.007250
2010	2	0.005250
2010	3	0.001500
2010	4	0.026250
2010	5	0.017250
2010	6	0.016750
2010	7	0.020750
2010	8	0.021000
2010	9	0.022250
2010	10	0.000667
2010	11	0.008686
2010	12	0.000250
2011	1	0.005842
2011	2	0.005026
2011	3	0.006261
2011	4	0.018817
2011	5	0.013083
2011	6	0.012295
2011	7	0.012822
2011	8	0.010847
2011	9	0.014241
2011	10	0.006326
2011	11	0.008686
2011	12	0.004482
2012	1	0.008820
2012	2	0.007201
2012	3	0.007006
2012	4	0.020054
2012	5	0.008125
2012	6	0.009360
2012	7	0.010754
2012	8	0.003990
2012	9	0.013107
2012	10	0.010892
2012	11	0.005990
2012	12	0.001997
