year	month	ST(oC)
2009	1	14.36
2009	2	19.16
2009	3	16.92
2009	4	19.26
2009	5	21.35
2009	6	22.65
2009	7	23.41
2009	8	23.88
2009	9	23.40
2009	10	21.46
2009	11	17.17
2009	12	15.61
2010	1	15.08
2010	2	16.26
2010	3	17.85
2010	4	18.03
2010	5	21.56
2010	6	21.78
2010	7	23.61
2010	8	23.18
2010	9	22.64
2010	10	20.43
2010	11	18.60
2010	12	15.86
2011	1	12.55
2011	2	15.72
2011	3	16.01
2011	4	20.46
2011	5	21.86
2011	6	22.96
2011	7	23.39
2011	8	23.72
2011	9	22.57
2011	10	20.22
2011	11	19.45
2011	12	15.37
2012	1	13.37
2012	2	14.78
2012	3	17.03
2012	4	20.21
2012	5	22.32
2012	6	22.70
2012	7	23.19
2012	8	23.29
2012	9	22.19
2012	10	21.04
2012	11	18.07
2012	12	15.45
