year	month	SWC
2009	1	23.49
2009	2	23.51
2009	3	31.26
2009	4	35.76
2009	5	30.02
2009	6	33.44
2009	7	34.76
2009	8	32.42
2009	9	31.25
2009	10	20.00
2009	11	23.19
2009	12	26.16
2010	1	35.10
2010	2	35.96
2010	3	27.79
2010	4	32.86
2010	5	32.90
2010	6	37.32
2010	7	31.97
2010	8	33.19
2010	9	28.00
2010	10	29.07
2010	11	20.51
2010	12	16.37
2011	1	19.91
2011	2	23.09
2011	3	27.89
2011	4	25.38
2011	5	32.13
2011	6	28.69
2011	7	27.53
2011	8	22.67
2011	9	18.48
2011	10	21.41
2011	11	19.14
2011	12	16.87
2012	1	21.39
2012	2	18.95
2012	3	20.82
2012	4	21.66
2012	5	22.22
2012	6	22.00
2012	7	21.46
2012	8	19.76
2012	9	18.57
2012	10	13.21
2012	11	12.98
2012	12	14.37
