id	year	month	vsm-C	vsm-DC	vsm-H
1	1989	1	0.1001	0.1001	0.1001
2	1989	2	0.1001	0.1001	0.1001
3	1989	3	0.1001	0.1001	0.1001
4	1989	4	0.326666667	0.315	0.321666667
5	1989	5	0.341666667	0.32	0.346666667
6	1989	6	0.238333333	0.228333333	0.226666667
7	1989	7	0.173333333	0.16	0.148333333
8	1989	8	0.28	0.281666667	0.256666667
9	1989	9	0.188333333	0.171666667	0.168333333
10	1989	10	0.291666667	0.273333333	0.268333333
11	1989	11	0.271666667	0.255	0.251666667
12	1989	12	0.1001	0.1001	0.1001
13	1990	1	0.1001	0.1001	0.1001
14	1990	2	0.1001	0.1001	0.1001
15	1990	3	0.1001	0.1001	0.1001
16	1990	4	0.326666667	0.315	0.321666667
17	1990	5	0.341666667	0.32	0.346666667
18	1990	6	0.238333333	0.228333333	0.226666667
19	1990	7	0.173333333	0.16	0.148333333
20	1990	8	0.28	0.281666667	0.256666667
21	1990	9	0.268333333	0.268333333	0.248333333
22	1990	10	0.25	0.235	0.226666667
23	1990	11	0.275	0.261666667	0.261666667
24	1990	12	0.1001	0.1001	0.1001
1	1991	1	0.1001	0.1001	0.1001
2	1991	2	0.1001	0.1001	0.1001
3	1991	3	0.1001	0.1001	0.1001
4	1991	4	0.326666667	0.315	0.321666667
5	1991	5	0.341666667	0.32	0.346666667
6	1991	6	0.238333333	0.228333333	0.226666667
7	1991	7	0.173333333	0.16	0.148333333
8	1991	8	0.28	0.281666667	0.256666667
9	1991	9	0.188333333	0.171666667	0.168333333
10	1991	10	0.291666667	0.273333333	0.268333333
11	1991	11	0.271666667	0.255	0.251666667
12	1991	12	0.1001	0.1001	0.1001
13	1992	1	0.1001	0.1001	0.1001
14	1992	2	0.1001	0.1001	0.1001
15	1992	3	0.1001	0.1001	0.1001
16	1992	4	0.326666667	0.315	0.321666667
17	1992	5	0.341666667	0.32	0.346666667
18	1992	6	0.238333333	0.228333333	0.226666667
19	1992	7	0.173333333	0.16	0.148333333
20	1992	8	0.28	0.281666667	0.256666667
21	1992	9	0.268333333	0.268333333	0.248333333
22	1992	10	0.25	0.235	0.226666667
23	1992	11	0.275	0.261666667	0.261666667
24	1992	12	0.1001	0.1001	0.1001
25	1993	1	0.1001	0.1001	0.1001
26	1993	2	0.1001	0.1001	0.1001
27	1993	3	0.1001	0.1001	0.1001
28	1993	4	0.326666667	0.315	0.321666667
29	1993	5	0.341666667	0.32	0.346666667
30	1993	6	0.238333333	0.228333333	0.226666667
31	1993	7	0.173333333	0.16	0.148333333
32	1993	8	0.28	0.281666667	0.256666667
33	1993	9	0.188333333	0.171666667	0.168333333
34	1993	10	0.291666667	0.273333333	0.268333333
35	1993	11	0.271666667	0.255	0.251666667
36	1993	12	0.1001	0.1001	0.1001
37	1994	1	0.1001	0.1001	0.1001
38	1994	2	0.1001	0.1001	0.1001
39	1994	3	0.1001	0.1001	0.1001
40	1994	4	0.326666667	0.315	0.321666667
41	1994	5	0.341666667	0.32	0.346666667
42	1994	6	0.238333333	0.228333333	0.226666667
43	1994	7	0.173333333	0.16	0.148333333
44	1994	8	0.28	0.281666667	0.256666667
45	1994	9	0.268333333	0.268333333	0.248333333
46	1994	10	0.25	0.235	0.226666667
47	1994	11	0.275	0.261666667	0.261666667
48	1994	12	0.1001	0.1001	0.1001
49	1995	1	0.1001	0.1001	0.1001
50	1995	2	0.1001	0.1001	0.1001
51	1995	3	0.1001	0.1001	0.1001
52	1995	4	0.344166667	0.311666667	0.324166667
53	1995	5	0.334166667	0.295	0.324166667
54	1995	6	0.156666667	0.143333333	0.136666667
55	1995	7	0.143333333	0.143333333	0.136666667
56	1995	8	0.076666667	0.061111111	0.072222222
